image_id,filename,split,image_path,semantic_mask_path,overall_mask_path,width,height,total_objects,raw_width,raw_height,exif_orientation,camera_make,camera_model,datetime_original,raw_bytes,release_bytes,raw_sha256,release_sha256,overall_mask_pixels,union_mismatch_pixels,overlap_pixels,source_mask_ambiguous_pixels,brightness_mean,brightness_std,sharpness_laplacian_var,saturation_mean,green_immature_objects,green_immature_mask_path,green_immature_mask_pixels,green_immature_component_count,green_immature_coverage_percent,pale_pink_objects,pale_pink_mask_path,pale_pink_mask_pixels,pale_pink_component_count,pale_pink_coverage_percent,pink_turns_purple_objects,pink_turns_purple_mask_path,pink_turns_purple_mask_pixels,pink_turns_purple_component_count,pink_turns_purple_coverage_percent,fully_ripe_objects,fully_ripe_mask_path,fully_ripe_mask_pixels,fully_ripe_component_count,fully_ripe_coverage_percent,over_ripe_objects,over_ripe_mask_path,over_ripe_mask_pixels,over_ripe_component_count,over_ripe_coverage_percent
20260430_105255,20260430_105255.jpg,train,dataset/images/20260430_105255.jpg,dataset/masks_semantic/20260430_105255.png,dataset/masks_overall/20260430_105255.png,3000,4000,51,4000,3000,6,samsung,Galaxy S24 Ultra,2026:04:30 10:52:55,3503770,3512373,effea0aedff5e9e9b8951a741d0d39bacfd107ca86734b20d11afbf839c54dbd,ad2d27e2186cc1ab3020865f846987ee868b9925e12c3700cf850087e8017549,415706,13,0,97233,116.00762939453125,61.17938995361328,1085.7401123046875,83.67024993896484,37,dataset/masks_binary/green_immature/20260430_105255.png,217137,38,1.809475,1,dataset/masks_binary/pale_pink/20260430_105255.png,24898,1,0.20748333333333335,4,dataset/masks_binary/pink_turns_purple/20260430_105255.png,72440,4,0.6036666666666667,9,dataset/masks_binary/fully_ripe/20260430_105255.png,101232,10,0.8436000000000001,0,dataset/masks_binary/over_ripe/20260430_105255.png,0,0,0.0
20260430_105303,20260430_105303.jpg,val,dataset/images/20260430_105303.jpg,dataset/masks_semantic/20260430_105303.png,dataset/masks_overall/20260430_105303.png,3000,4000,16,4000,3000,6,samsung,Galaxy S24 Ultra,2026:04:30 10:53:03,3325621,3255319,cfe15cb67e148516c616167ee59b3ca703ab2eb99bdb2dc52b7b1a9fae21417e,3d44db9afc319e6a1a8a9bce346fb4d8826018b41b665efd175a7a9713034ad0,121523,0,0,33468,105.0835952758789,57.81059265136719,482.6709899902344,114.46724700927734,12,dataset/masks_binary/green_immature/20260430_105303.png,90055,12,0.7504583333333333,0,dataset/masks_binary/pale_pink/20260430_105303.png,0,0,0.0,1,dataset/masks_binary/pink_turns_purple/20260430_105303.png,15841,1,0.13200833333333334,3,dataset/masks_binary/fully_ripe/20260430_105303.png,15627,3,0.130225,0,dataset/masks_binary/over_ripe/20260430_105303.png,0,0,0.0
20260430_105310,20260430_105310.jpg,val,dataset/images/20260430_105310.jpg,dataset/masks_semantic/20260430_105310.png,dataset/masks_overall/20260430_105310.png,3000,4000,25,4000,3000,6,samsung,Galaxy S24 Ultra,2026:04:30 10:53:10,3400411,3357969,e0053cf2ea4b44b14dd677a418e12af664af1026f90724a531293a25e0b50ae4,34de0d7a91e698c3267dc5ad0046522944089643ed50fda81f6e1158219eb06f,724001,17,0,99987,113.47386932373047,51.57040786743164,565.6843872070312,133.49493408203125,15,dataset/masks_binary/green_immature/20260430_105310.png,412657,15,3.4388083333333332,0,dataset/masks_binary/pale_pink/20260430_105310.png,0,0,0.0,4,dataset/masks_binary/pink_turns_purple/20260430_105310.png,138184,4,1.1515333333333333,6,dataset/masks_binary/fully_ripe/20260430_105310.png,173177,6,1.4431416666666668,0,dataset/masks_binary/over_ripe/20260430_105310.png,0,0,0.0
20260430_105327,20260430_105327.jpg,train,dataset/images/20260430_105327.jpg,dataset/masks_semantic/20260430_105327.png,dataset/masks_overall/20260430_105327.png,3000,4000,29,4000,3000,6,samsung,Galaxy S24 Ultra,2026:04:30 10:53:26,3219408,3187156,63a02f545ebe7a27123b64097d4b9f390b93add64061092e08a25b6de662cd62,18d55f29b0438881425a13b3692fc246faf516b962ef6d8c2ae0d45f328844b6,638089,1,0,90409,116.508056640625,58.264610290527344,669.5077514648438,113.9661865234375,6,dataset/masks_binary/green_immature/20260430_105327.png,57659,6,0.48049166666666665,1,dataset/masks_binary/pale_pink/20260430_105327.png,15090,1,0.12575,0,dataset/masks_binary/pink_turns_purple/20260430_105327.png,0,0,0.0,22,dataset/masks_binary/fully_ripe/20260430_105327.png,565341,24,4.711175,0,dataset/masks_binary/over_ripe/20260430_105327.png,0,0,0.0
20260430_105336,20260430_105336.jpg,train,dataset/images/20260430_105336.jpg,dataset/masks_semantic/20260430_105336.png,dataset/masks_overall/20260430_105336.png,3000,4000,28,4000,3000,6,samsung,Galaxy S24 Ultra,2026:04:30 10:53:35,3124191,2979498,97164910a0110f2d92425f4001fc70ca7a617eed2ad5b12044556ebb81c829aa,09add96098ac32be182ae4be25ee3fc97c2d5b5592c4b422bb85a29bdcc90614,905314,6,0,105987,107.7889404296875,55.43655776977539,307.9867248535156,124.58890533447266,16,dataset/masks_binary/green_immature/20260430_105336.png,434105,16,3.617541666666667,1,dataset/masks_binary/pale_pink/20260430_105336.png,80280,1,0.6689999999999999,0,dataset/masks_binary/pink_turns_purple/20260430_105336.png,0,0,0.0,11,dataset/masks_binary/fully_ripe/20260430_105336.png,390935,12,3.2577916666666664,0,dataset/masks_binary/over_ripe/20260430_105336.png,0,0,0.0
20260430_105341,20260430_105341.jpg,val,dataset/images/20260430_105341.jpg,dataset/masks_semantic/20260430_105341.png,dataset/masks_overall/20260430_105341.png,3000,4000,9,4000,3000,6,samsung,Galaxy S24 Ultra,2026:04:30 10:53:41,3346958,3226251,24afb857da5d4bf33700988bef82191924d20305683418ca0c700296dfb5f491,7513f7ce886f0debcd6f39e6b81c52e9fe715463900aa6eeb261ae6891b0b347,623676,0,0,57493,111.0359115600586,44.01482009887695,278.3930358886719,161.97010803222656,4,dataset/masks_binary/green_immature/20260430_105341.png,169873,4,1.4156083333333334,2,dataset/masks_binary/pale_pink/20260430_105341.png,208329,2,1.736075,0,dataset/masks_binary/pink_turns_purple/20260430_105341.png,0,0,0.0,3,dataset/masks_binary/fully_ripe/20260430_105341.png,245474,3,2.0456166666666666,0,dataset/masks_binary/over_ripe/20260430_105341.png,0,0,0.0
20260430_105347,20260430_105347.jpg,train,dataset/images/20260430_105347.jpg,dataset/masks_semantic/20260430_105347.png,dataset/masks_overall/20260430_105347.png,3000,4000,51,4000,3000,6,samsung,Galaxy S24 Ultra,2026:04:30 10:53:47,4344307,4491474,e5de8cbbd184df64566bf37b404efa4f6dc219ac2ff30a451ebbf4de114081f3,8aa52a1775e61b50ef22a3cf0b39aa096c057cccc21486a9966570c039bb89b3,282576,0,0,75804,106.43025970458984,53.041656494140625,3454.909912109375,145.37718200683594,46,dataset/masks_binary/green_immature/20260430_105347.png,238949,51,1.9912416666666666,3,dataset/masks_binary/pale_pink/20260430_105347.png,37744,3,0.31453333333333333,0,dataset/masks_binary/pink_turns_purple/20260430_105347.png,0,0,0.0,2,dataset/masks_binary/fully_ripe/20260430_105347.png,5883,2,0.049025,0,dataset/masks_binary/over_ripe/20260430_105347.png,0,0,0.0
20260430_105410,20260430_105410.jpg,test,dataset/images/20260430_105410.jpg,dataset/masks_semantic/20260430_105410.png,dataset/masks_overall/20260430_105410.png,4000,3000,112,4000,3000,1,samsung,Galaxy S24 Ultra,2026:04:30 10:54:10,3973680,4223151,29ca93922c0aa6577491f04c9fb7783640085f8cfc31d08e4f5cbe6be4e47578,a1b08a8ae00e390abc61a277a2f9702fa4e7e38cd913b075d11900f276f118eb,417726,3,0,141777,108.70355224609375,55.95014953613281,2455.87060546875,108.96399688720703,80,dataset/masks_binary/green_immature/20260430_105410.png,268169,81,2.234741666666667,1,dataset/masks_binary/pale_pink/20260430_105410.png,3810,1,0.03175,0,dataset/masks_binary/pink_turns_purple/20260430_105410.png,0,0,0.0,31,dataset/masks_binary/fully_ripe/20260430_105410.png,145748,35,1.2145666666666668,0,dataset/masks_binary/over_ripe/20260430_105410.png,0,0,0.0
20260430_105421,20260430_105421.jpg,train,dataset/images/20260430_105421.jpg,dataset/masks_semantic/20260430_105421.png,dataset/masks_overall/20260430_105421.png,3000,4000,108,4000,3000,6,samsung,Galaxy S24 Ultra,2026:04:30 10:54:21,4134253,4308973,70021d429e36cdb21a2f3e69fa7706e44da43b082da985e8f191f6d4d7670f6c,0fba71b460cf27fd959971b9a0251b64be3b2ae508581f9f89f817390ba3f908,244101,22,0,97943,104.83767700195312,57.40776062011719,2426.893310546875,91.96990966796875,89,dataset/masks_binary/green_immature/20260430_105421.png,140429,95,1.1702416666666666,4,dataset/masks_binary/pale_pink/20260430_105421.png,28539,4,0.237825,0,dataset/masks_binary/pink_turns_purple/20260430_105421.png,0,0,0.0,15,dataset/masks_binary/fully_ripe/20260430_105421.png,75149,17,0.6262416666666667,0,dataset/masks_binary/over_ripe/20260430_105421.png,0,0,0.0
20260430_105427,20260430_105427.jpg,train,dataset/images/20260430_105427.jpg,dataset/masks_semantic/20260430_105427.png,dataset/masks_overall/20260430_105427.png,3000,4000,45,4000,3000,6,samsung,Galaxy S24 Ultra,2026:04:30 10:54:27,3229342,3163607,aff93aa31a77517ad5cfa2b748f113ff3d8720455bb6248fb6f9521c618c2c71,bf7549edf2758485fb6b66bfd48ce2c0d5168e35fec5db5f03167c585e6da48f,419598,0,0,99170,112.51593017578125,56.13597106933594,583.3619995117188,84.65987396240234,40,dataset/masks_binary/green_immature/20260430_105427.png,304795,41,2.5399583333333333,0,dataset/masks_binary/pale_pink/20260430_105427.png,0,0,0.0,0,dataset/masks_binary/pink_turns_purple/20260430_105427.png,0,0,0.0,5,dataset/masks_binary/fully_ripe/20260430_105427.png,114803,7,0.9566916666666666,0,dataset/masks_binary/over_ripe/20260430_105427.png,0,0,0.0
