image_id,filename,source_set,source_modality,metadata_source,filename_datetime,split,image_path,semantic_mask_path,overall_mask_path,width,height,total_objects,raw_width,raw_height,exif_orientation,camera_make,camera_model,datetime_original,raw_bytes,release_bytes,raw_sha256,release_sha256,overall_mask_pixels,union_mismatch_pixels,overlap_pixels,source_mask_ambiguous_pixels,brightness_mean,brightness_std,sharpness_laplacian_var,saturation_mean,green_immature_objects,green_immature_mask_path,green_immature_mask_pixels,green_immature_component_count,green_immature_coverage_percent,pale_pink_objects,pale_pink_mask_path,pale_pink_mask_pixels,pale_pink_component_count,pale_pink_coverage_percent,pink_turns_purple_objects,pink_turns_purple_mask_path,pink_turns_purple_mask_pixels,pink_turns_purple_component_count,pink_turns_purple_coverage_percent,fully_ripe_objects,fully_ripe_mask_path,fully_ripe_mask_pixels,fully_ripe_component_count,fully_ripe_coverage_percent,over_ripe_objects,over_ripe_mask_path,over_ripe_mask_pixels,over_ripe_component_count,over_ripe_coverage_percent
00001_20260212_161655_f00000093_t000003.100s,00001_20260212_161655_f00000093_t000003.100s.jpg,frames_set_1,video_frame,filename_derived,2026:02:12 16:16:55,train,dataset/images/00001_20260212_161655_f00000093_t000003.100s.jpg,dataset/masks_semantic/00001_20260212_161655_f00000093_t000003.100s.png,dataset/masks_overall/00001_20260212_161655_f00000093_t000003.100s.png,4320,7680,110,4320,7680,1,,video frame,2026:02:12 16:16:55,7029517,6930160,067342a13d6f30b2cfc7119f4546530b2f7a5b22857093b32b1c615fa7022ab4,f22ab507f44ea27c8a23753267f6bb8f157c3a9bfef2cffa57c8b7d6c191286d,1595822,0,14,0,106.97295379638672,56.97032928466797,3714.373291015625,151.24549865722656,99,dataset/masks_binary/green_immature/00001_20260212_161655_f00000093_t000003.100s.png,1456504,57,4.390022183641976,0,dataset/masks_binary/pale_pink/00001_20260212_161655_f00000093_t000003.100s.png,0,0,0.0,3,dataset/masks_binary/pink_turns_purple/00001_20260212_161655_f00000093_t000003.100s.png,50909,3,0.153443889853395,5,dataset/masks_binary/fully_ripe/00001_20260212_161655_f00000093_t000003.100s.png,6999,5,0.021095558449074,3,dataset/masks_binary/over_ripe/00001_20260212_161655_f00000093_t000003.100s.png,81424,2,0.2454185956790123
00006_20260212_161655_f00000175_t000005.834s,00006_20260212_161655_f00000175_t000005.834s.jpg,frames_set_1,video_frame,filename_derived,2026:02:12 16:16:55,train,dataset/images/00006_20260212_161655_f00000175_t000005.834s.jpg,dataset/masks_semantic/00006_20260212_161655_f00000175_t000005.834s.png,dataset/masks_overall/00006_20260212_161655_f00000175_t000005.834s.png,4320,7680,172,4320,7680,1,,video frame,2026:02:12 16:16:55,6739294,6640406,d2697058ed83f5e6aad42bd7bfc82d86ab01c9d4ce5e78f8bce00b6dc0618d9c,c6c5bbd5eccc535fb90c117e1a677ab1fe253cf07c91c131a2d3ec2143a8917f,2910400,0,3,0,113.59837341308594,59.802852630615234,3340.260986328125,126.14418029785156,124,dataset/masks_binary/green_immature/00006_20260212_161655_f00000175_t000005.834s.png,2040897,68,6.151430483217593,6,dataset/masks_binary/pale_pink/00006_20260212_161655_f00000175_t000005.834s.png,86214,6,0.2598560474537037,4,dataset/masks_binary/pink_turns_purple/00006_20260212_161655_f00000175_t000005.834s.png,108139,3,0.3259397907021605,15,dataset/masks_binary/fully_ripe/00006_20260212_161655_f00000175_t000005.834s.png,270908,12,0.8165388695987654,23,dataset/masks_binary/over_ripe/00006_20260212_161655_f00000175_t000005.834s.png,404245,17,1.218427493248457
00007_20260212_161655_f00000198_t000006.601s,00007_20260212_161655_f00000198_t000006.601s.jpg,frames_set_1,video_frame,filename_derived,2026:02:12 16:16:55,test,dataset/images/00007_20260212_161655_f00000198_t000006.601s.jpg,dataset/masks_semantic/00007_20260212_161655_f00000198_t000006.601s.png,dataset/masks_overall/00007_20260212_161655_f00000198_t000006.601s.png,4320,7680,154,4320,7680,1,,video frame,2026:02:12 16:16:55,6064849,6009540,e258e285e8d64ed52eaac93536242fd87fc1d3d8b0f75078ed411002893d5e71,11a9b834493137dd57c55c6d0d85765e85f0599acb03a58cc8c1bec50d9293bd,2968331,0,0,0,116.59071350097656,62.014915466308594,2630.392578125,122.53034210205078,120,dataset/masks_binary/green_immature/00007_20260212_161655_f00000198_t000006.601s.png,1879083,59,5.663709852430555,3,dataset/masks_binary/pale_pink/00007_20260212_161655_f00000198_t000006.601s.png,20175,2,0.0608091001157407,3,dataset/masks_binary/pink_turns_purple/00007_20260212_161655_f00000198_t000006.601s.png,169343,3,0.5104136525848765,25,dataset/masks_binary/fully_ripe/00007_20260212_161655_f00000198_t000006.601s.png,836073,16,2.519992404513889,3,dataset/masks_binary/over_ripe/00007_20260212_161655_f00000198_t000006.601s.png,63657,2,0.1918674045138889
00009_20260212_161655_f00000213_t000007.101s,00009_20260212_161655_f00000213_t000007.101s.jpg,frames_set_1,video_frame,filename_derived,2026:02:12 16:16:55,train,dataset/images/00009_20260212_161655_f00000213_t000007.101s.jpg,dataset/masks_semantic/00009_20260212_161655_f00000213_t000007.101s.png,dataset/masks_overall/00009_20260212_161655_f00000213_t000007.101s.png,4320,7680,180,4320,7680,1,,video frame,2026:02:12 16:16:55,5966000,5910750,e947cb21538af425592f00fb04b0bd309bc289a86abae8c9b48428f2ca50fbf0,ddca5108f4dccae5a07cd0575f1c95e3c017ca8e822e46070901ccf95b4a435f,2621282,0,7,0,115.87754821777344,63.819854736328125,2351.728759765625,118.7393798828125,129,dataset/masks_binary/green_immature/00009_20260212_161655_f00000213_t000007.101s.png,1771928,70,5.340735918209877,0,dataset/masks_binary/pale_pink/00009_20260212_161655_f00000213_t000007.101s.png,0,0,0.0,5,dataset/masks_binary/pink_turns_purple/00009_20260212_161655_f00000213_t000007.101s.png,148552,5,0.4477478780864197,42,dataset/masks_binary/fully_ripe/00009_20260212_161655_f00000213_t000007.101s.png,500836,27,1.5095606674382716,4,dataset/masks_binary/over_ripe/00009_20260212_161655_f00000213_t000007.101s.png,199973,3,0.602734977816358
00019_20260212_161655_f00000327_t000010.901s,00019_20260212_161655_f00000327_t000010.901s.jpg,frames_set_1,video_frame,filename_derived,2026:02:12 16:16:55,test,dataset/images/00019_20260212_161655_f00000327_t000010.901s.jpg,dataset/masks_semantic/00019_20260212_161655_f00000327_t000010.901s.png,dataset/masks_overall/00019_20260212_161655_f00000327_t000010.901s.png,4320,7680,136,4320,7680,1,,video frame,2026:02:12 16:16:55,6274955,6213580,018d88e70354323c868e8d0a2c1a8d8b8c0b5a1d874d4da27055015e1f61194e,5fe51eaf0351c6b7e68e3abfe18ff4a9d351a4aef4077ac12ce910e74ab6ae5b,2776125,0,8,0,110.99795532226562,62.01095199584961,2682.9208984375,112.91422271728516,80,dataset/masks_binary/green_immature/00019_20260212_161655_f00000327_t000010.901s.png,1270972,49,3.8308135609567904,2,dataset/masks_binary/pale_pink/00019_20260212_161655_f00000327_t000010.901s.png,131179,2,0.395384235146605,8,dataset/masks_binary/pink_turns_purple/00019_20260212_161655_f00000327_t000010.901s.png,251740,8,0.758764949845679,41,dataset/masks_binary/fully_ripe/00019_20260212_161655_f00000327_t000010.901s.png,1076511,24,3.244692201967593,5,dataset/masks_binary/over_ripe/00019_20260212_161655_f00000327_t000010.901s.png,45731,5,0.1378369743441358
00020_20260212_161655_f00000342_t000011.401s,00020_20260212_161655_f00000342_t000011.401s.jpg,frames_set_1,video_frame,filename_derived,2026:02:12 16:16:55,train,dataset/images/00020_20260212_161655_f00000342_t000011.401s.jpg,dataset/masks_semantic/00020_20260212_161655_f00000342_t000011.401s.png,dataset/masks_overall/00020_20260212_161655_f00000342_t000011.401s.png,4320,7680,123,4320,7680,1,,video frame,2026:02:12 16:16:55,6138829,6082218,cfc541b91123b539d230d1fefadb01a030dbc0f64b81cf8c00f6769fc30f5931,1e7374745b720093ab21f6b6ce9a1d9136ad861f4038aecd0ed5690f818590a5,2816799,0,5,0,113.68221282958984,59.11479187011719,2404.02294921875,112.25560760498048,81,dataset/masks_binary/green_immature/00020_20260212_161655_f00000342_t000011.401s.png,1479488,47,4.459297839506173,7,dataset/masks_binary/pale_pink/00020_20260212_161655_f00000342_t000011.401s.png,336597,7,1.0145308883101851,2,dataset/masks_binary/pink_turns_purple/00020_20260212_161655_f00000342_t000011.401s.png,52199,2,0.1573320553626543,30,dataset/masks_binary/fully_ripe/00020_20260212_161655_f00000342_t000011.401s.png,921609,19,2.777804904513889,3,dataset/masks_binary/over_ripe/00020_20260212_161655_f00000342_t000011.401s.png,26911,3,0.0811119550540123
00022_20260212_161655_f00000367_t000012.235s,00022_20260212_161655_f00000367_t000012.235s.jpg,frames_set_1,video_frame,filename_derived,2026:02:12 16:16:55,train,dataset/images/00022_20260212_161655_f00000367_t000012.235s.jpg,dataset/masks_semantic/00022_20260212_161655_f00000367_t000012.235s.png,dataset/masks_overall/00022_20260212_161655_f00000367_t000012.235s.png,4320,7680,184,4320,7680,1,,video frame,2026:02:12 16:16:55,6365190,6280178,3b844bc073e5006842d722a2f084878acfee4940cf03c2d52af75de30b08f551,fbcd6de03a69d5a17286136a6968d6f3f39b1310f42030feef26154a732f60da,2340361,0,50,0,112.24769592285156,59.34498977661133,3043.441162109375,115.49324798583984,140,dataset/masks_binary/green_immature/00022_20260212_161655_f00000367_t000012.235s.png,1595219,85,4.808120539158951,3,dataset/masks_binary/pale_pink/00022_20260212_161655_f00000367_t000012.235s.png,54752,3,0.1650270061728395,8,dataset/masks_binary/pink_turns_purple/00022_20260212_161655_f00000367_t000012.235s.png,132365,8,0.3989589361496914,17,dataset/masks_binary/fully_ripe/00022_20260212_161655_f00000367_t000012.235s.png,143186,18,0.4315743152006173,16,dataset/masks_binary/over_ripe/00022_20260212_161655_f00000367_t000012.235s.png,414889,11,1.2505093798225309
00026_20260212_161655_f00000404_t000013.468s,00026_20260212_161655_f00000404_t000013.468s.jpg,frames_set_1,video_frame,filename_derived,2026:02:12 16:16:55,train,dataset/images/00026_20260212_161655_f00000404_t000013.468s.jpg,dataset/masks_semantic/00026_20260212_161655_f00000404_t000013.468s.png,dataset/masks_overall/00026_20260212_161655_f00000404_t000013.468s.png,4320,7680,177,4320,7680,1,,video frame,2026:02:12 16:16:55,6122098,6071380,a0ae1d18d7b3f3f33e13de8b6738a9ed42268b0e8bce2703312ec1e3ea192cae,141a967a74d6ec691b03d6260bce69edf8c7d7b6a91e044d2199caf6957d6b69,2431760,0,16,0,109.42861938476562,61.37137222290039,2620.7666015625,115.99110412597656,130,dataset/masks_binary/green_immature/00026_20260212_161655_f00000404_t000013.468s.png,1588290,88,4.787235966435185,8,dataset/masks_binary/pale_pink/00026_20260212_161655_f00000404_t000013.468s.png,143012,8,0.4310498649691358,1,dataset/masks_binary/pink_turns_purple/00026_20260212_161655_f00000404_t000013.468s.png,17228,1,0.0519266010802469,31,dataset/masks_binary/fully_ripe/00026_20260212_161655_f00000404_t000013.468s.png,328231,23,0.9893150800540124,7,dataset/masks_binary/over_ripe/00026_20260212_161655_f00000404_t000013.468s.png,355015,5,1.070044246720679
00031_20260212_161655_f00000461_t000015.368s,00031_20260212_161655_f00000461_t000015.368s.jpg,frames_set_1,video_frame,filename_derived,2026:02:12 16:16:55,train,dataset/images/00031_20260212_161655_f00000461_t000015.368s.jpg,dataset/masks_semantic/00031_20260212_161655_f00000461_t000015.368s.png,dataset/masks_overall/00031_20260212_161655_f00000461_t000015.368s.png,4320,7680,121,4320,7680,1,,video frame,2026:02:12 16:16:55,5485356,5453600,9030675ad1ee44b5201a277466750fda57eba83de94bb1a444a1adf5f127a2f6,1d6394936496015e245db1c34272b49523f3bde68df34f8466e07b68849afe06,2778758,0,8,0,115.34146881103516,59.16542816162109,1835.0379638671875,112.97953033447266,94,dataset/masks_binary/green_immature/00031_20260212_161655_f00000461_t000015.368s.png,2048200,60,6.173442322530864,3,dataset/masks_binary/pale_pink/00031_20260212_161655_f00000461_t000015.368s.png,27692,3,0.0834659529320987,3,dataset/masks_binary/pink_turns_purple/00031_20260212_161655_f00000461_t000015.368s.png,111705,3,0.3366880063657407,4,dataset/masks_binary/fully_ripe/00031_20260212_161655_f00000461_t000015.368s.png,53753,3,0.1620159384645061,17,dataset/masks_binary/over_ripe/00031_20260212_161655_f00000461_t000015.368s.png,537416,11,1.6198157793209875
00032_20260212_161655_f00000477_t000015.902s,00032_20260212_161655_f00000477_t000015.902s.jpg,frames_set_1,video_frame,filename_derived,2026:02:12 16:16:55,train,dataset/images/00032_20260212_161655_f00000477_t000015.902s.jpg,dataset/masks_semantic/00032_20260212_161655_f00000477_t000015.902s.png,dataset/masks_overall/00032_20260212_161655_f00000477_t000015.902s.png,4320,7680,125,4320,7680,1,,video frame,2026:02:12 16:16:55,6288076,6222951,6738fcfaf91b62c8381965a83ede646101a203eace22dcacd0e3cea532b35a72,29f8358a4480d79cc73dedb03f23865ef823c8232bffcff54687497805d23321,2013789,0,0,0,114.82516479492188,60.128692626953125,2550.25341796875,108.70826721191406,97,dataset/masks_binary/green_immature/00032_20260212_161655_f00000477_t000015.902s.png,1355021,51,4.084144121334877,1,dataset/masks_binary/pale_pink/00032_20260212_161655_f00000477_t000015.902s.png,23222,1,0.0699930073302469,2,dataset/masks_binary/pink_turns_purple/00032_20260212_161655_f00000477_t000015.902s.png,94886,2,0.2859941647376543,6,dataset/masks_binary/fully_ripe/00032_20260212_161655_f00000477_t000015.902s.png,153589,5,0.4629298080632716,19,dataset/masks_binary/over_ripe/00032_20260212_161655_f00000477_t000015.902s.png,387071,14,1.1666636525848766
