filename,green_immature,pale_pink,pink_turns_purple,fully_ripe,over_ripe,total_objects
00001_20260212_161655_f00000093_t000003.100s.jpg,99,0,3,5,3,110
00006_20260212_161655_f00000175_t000005.834s.jpg,124,6,4,15,23,172
00007_20260212_161655_f00000198_t000006.601s.jpg,120,3,3,25,3,154
00009_20260212_161655_f00000213_t000007.101s.jpg,129,0,5,42,4,180
00019_20260212_161655_f00000327_t000010.901s.jpg,80,2,8,41,5,136
00020_20260212_161655_f00000342_t000011.401s.jpg,81,7,2,30,3,123
00022_20260212_161655_f00000367_t000012.235s.jpg,140,3,8,17,16,184
00026_20260212_161655_f00000404_t000013.468s.jpg,130,8,1,31,7,177
00031_20260212_161655_f00000461_t000015.368s.jpg,94,3,3,4,17,121
00032_20260212_161655_f00000477_t000015.902s.jpg,97,1,2,6,19,125
00034_20260212_161655_f00000544_t000018.135s.jpg,78,3,3,29,25,138
00037_20260212_161655_f00000604_t000020.135s.jpg,93,2,4,9,5,113
00039_20260212_161655_f00000639_t000021.302s.jpg,82,0,2,5,10,99
00040_20260212_161655_f00000672_t000022.402s.jpg,108,1,1,7,15,132
00041_20260212_161655_f00000707_t000023.569s.jpg,115,3,3,10,22,153
00045_20260212_161655_f00000734_t000024.469s.jpg,159,4,4,13,29,209
00054_20260212_161655_f00000813_t000027.103s.jpg,135,4,0,20,7,166
00061_20260212_161655_f00000907_t000030.236s.jpg,148,9,1,31,4,193
00082_20260212_161655_f00001136_t000037.870s.jpg,138,2,3,22,9,174
00087_20260212_161655_f00001187_t000039.571s.jpg,123,0,11,25,18,177
00095_20260212_161655_f00001253_t000041.771s.jpg,116,1,2,15,36,170
00101_20260212_161655_f00001342_t000044.738s.jpg,102,2,8,9,22,143
00104_20260212_161655_f00001388_t000046.271s.jpg,136,6,14,30,23,209
00107_20260212_161655_f00001422_t000047.405s.jpg,121,12,13,24,32,202
00116_20260212_161655_f00001505_t000050.172s.jpg,95,3,10,18,9,135
00118_20260212_161655_f00001544_t000051.472s.jpg,74,1,6,1,6,88
00124_20260212_161655_f00001622_t000054.072s.jpg,158,0,4,16,10,188
00126_20260212_161655_f00001675_t000055.839s.jpg,88,5,2,10,12,117
00127_20260212_161655_f00001703_t000056.772s.jpg,108,2,7,27,11,155
00132_20260212_161655_f00001754_t000058.472s.jpg,157,1,7,10,6,181
